"id","workspace","organization","language","category","title","filename","url","source_page","license_note"
"who-scf-general","pulso-emergency-ops","WHO","en","clinical-form","Standardized Emergency Unit Form: General","who-scf-general.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/general-scf.pdf?sfvrsn=ebdc8087_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-trauma","pulso-emergency-ops","WHO","en","clinical-form","Standardized Emergency Unit Form: Trauma","who-scf-trauma.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/trauma-scf.pdf?sfvrsn=ece887a4_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-prehospital","pulso-emergency-ops","WHO","en","clinical-form","Standardized Clinical Form: Prehospital","who-scf-prehospital.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/prehospital-scf.pdf?sfvrsn=53881340_2","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-first-aid","pulso-emergency-ops","WHO","en","clinical-form","Emergency and First Aid Form","who-scf-emergency-first-aid.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/emergency-first-aid-form.pdf?sfvrsn=fd38f178_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-acute-referral","pulso-emergency-ops","WHO","en","referral","Acute Referral Form","who-acute-referral-form.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/ect/acute-referral-form.pdf?sfvrsn=c388cbda_3","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-counter-referral","pulso-emergency-ops","WHO","en","referral","Counter Referral Form","who-counter-referral-form.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/ect/counter-referral-form.pdf?sfvrsn=d56d08c9_2","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-general-card","pulso-emergency-ops","WHO","en","reference-card","General Emergency Unit Form Reference Card","who-scf-general-reference-card.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/general-scf-ref-card.pdf?sfvrsn=f55fd6d5_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-trauma-card","pulso-emergency-ops","WHO","en","reference-card","Trauma Emergency Unit Form Reference Card","who-scf-trauma-reference-card.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/trauma-scf-ref-card.pdf?sfvrsn=dc803c3e_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-prehospital-card","pulso-emergency-ops","WHO","en","reference-card","Prehospital Form Reference Card","who-scf-prehospital-reference-card.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/scf-prehospital-card.pdf?sfvrsn=83262dfe_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-scf-faq","pulso-emergency-ops","WHO","en","implementation","Standardized Clinical Forms FAQ","who-scf-faq.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/scf---faq.pdf?sfvrsn=a0c2f7c4_1","https://www.who.int/tools/standardized-clinical-forms","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-transfer-checklist","pulso-emergency-ops","WHO","en","handoff","Acute Transfer Checklist","who-acute-transfer-checklist.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/ect/acute-transfer-checklist.pdf?sfvrsn=1f6ef235_2","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/emergency-care-toolkit","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-ect-pocket-guide","pulso-emergency-ops","WHO","en","implementation","Emergency Care Toolkit Pocket Guide","who-ect-pocket-guide.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/ect/ect-pocket-guide-(a5).pdf","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/emergency-care-toolkit","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-rad-tool","pulso-emergency-ops","WHO","en","resuscitation-area","Resuscitation Area Designation Tool","who-resuscitation-area-tool.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/rad/rad-tool.pdf?sfvrsn=22439df9_1","https://www.who.int/publications/m/item/resuscitation-area-designation","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-rad-faq","pulso-emergency-ops","WHO","en","resuscitation-area","Resuscitation Area Designation FAQ","who-resuscitation-area-faq.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/rad/rad-faq.pdf?sfvrsn=2fbba18f_1","https://www.who.int/publications/m/item/resuscitation-area-designation","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-rad-medical","pulso-emergency-ops","WHO","en","resuscitation-area","Resuscitation Area Medical Algorithm","who-resuscitation-medical-algorithm.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/rad/medical-algorithm.pdf?sfvrsn=991f3cb6_3","https://www.who.int/publications/m/item/resuscitation-area-designation","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-rad-trauma","pulso-emergency-ops","WHO","en","resuscitation-area","Resuscitation Area Trauma Algorithm","who-resuscitation-trauma-algorithm.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/rad/trauma-algorithm.pdf?sfvrsn=2cefdfd_4","https://www.who.int/publications/m/item/resuscitation-area-designation","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-iitt-adult","pulso-emergency-ops","WHO","en","triage","Interagency Integrated Triage Tool: Adult","who-iitt-adult.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/iitt_adult.pdf?sfvrsn=b2a91431_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-iitt-pediatric","pulso-emergency-ops","WHO","en","triage","Interagency Integrated Triage Tool: Pediatric","who-iitt-pediatric.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/iitt_pediatric.pdf?sfvrsn=15161bfb_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-iitt-reference","pulso-emergency-ops","WHO","en","triage","Interagency Integrated Triage Tool Reference Card","who-iitt-reference-card.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/iitt_reference-card09165e1c-0df5-472d-ab53-45506191a7bd.pdf?sfvrsn=eba17410_2","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-iitt-faq","pulso-emergency-ops","WHO","en","triage","Interagency Integrated Triage Tool FAQ","who-iitt-faq.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/iitt-faq.pdf?sfvrsn=cc11cf12_5","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-triage-treatment-adult","pulso-emergency-ops","WHO","en","triage","Triage and Treatment: Adult","who-triage-treatment-adult.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/triage-and-treatment_adult.pdf?sfvrsn=b774d2c7_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-triage-treatment-pediatric","pulso-emergency-ops","WHO","en","triage","Triage and Treatment: Pediatric","who-triage-treatment-pediatric.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/iitt/triage-and-treatment_pediatric.pdf?sfvrsn=829387e7_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mci-iitt","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Interagency Integrated Triage Tool","who-mci-iitt.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mass-casualty---iitt.pdf?sfvrsn=3f2b7901_3","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mci-iitt-spanish","pulso-emergency-ops","WHO","es","mass-casualty","Herramienta de Triaje para Incidentes con Múltiples Víctimas","who-mci-iitt-spanish.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mc-iitt-spanish.pdf?sfvrsn=37b7c928_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mci-iitt-faq","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty IITT FAQ","who-mci-iitt-faq.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mc-iitt-faq.pdf?sfvrsn=3d3d71e9_1","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mci-guidance","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Management Triage Guidance Note","who-mci-triage-guidance.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mcm-triage_guidance-note.pdf?sfvrsn=d20449f5_2","https://www.who.int/tools/triage","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-action-cards","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Management Action Cards","who-mcm-action-cards.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mcm-action-cards.pdf?sfvrsn=97ac2d71_1","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-concept","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Management Concept Note","who-mcm-concept-note.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mcm-concept-note.pdf?sfvrsn=dd6e14a7_5","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-kit-lists","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Management Kit Lists","who-mcm-kit-lists.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/mcm-kit-lists.pdf?sfvrsn=71daba5b_1","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-patient-tracker","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Patient Tracker Forms","who-mcm-patient-tracker-forms.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/patient-tracker-forms.pdf?sfvrsn=60ffa91b_1","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-preparedness","pulso-emergency-ops","WHO","en","mass-casualty","Mass Casualty Preparedness and Activation Checklists","who-mcm-preparedness-checklists.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/preparedness-and-activation-checklists.pdf?sfvrsn=fd7aa11d_1","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-mcm-palliative","pulso-emergency-ops","WHO","en","mass-casualty","Palliative Care in Mass Casualty Management","who-mcm-palliative-care.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/palliative-care-in-mcm.pdf?sfvrsn=d9363719_1","https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-bec-workbook","pulso-emergency-ops","WHO-ICRC","en","basic-emergency-care","Basic Emergency Care: Approach to the Acutely Ill and Injured","who-basic-emergency-care-workbook.pdf","https://iris.who.int/server/api/core/bitstreams/63432b9f-8808-44c5-9692-cea717c0cbda/content","https://www.who.int/publications/i/item/9789241513081","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-bec-quick-cards","pulso-emergency-ops","WHO-ICRC","en","basic-emergency-care","Basic Emergency Care Quick Cards","who-basic-emergency-care-quick-cards.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/bec-quick-cards/becp-edu29-pdf-en-finl.pdf?sfvrsn=2532d61b_4","https://www.who.int/publications/i/item/9789241513081","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-bec-sbar","pulso-emergency-ops","WHO-ICRC","en","handoff","SBAR Communication Tool","who-bec-sbar.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/bec-slides/bec/sbar.pdf?sfvrsn=a91f5c16_1","https://www.who.int/publications/i/item/9789241513081","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-bec-faq","pulso-emergency-ops","WHO-ICRC","en","basic-emergency-care","Basic Emergency Care FAQ","who-basic-emergency-care-faq.pdf","https://cdn.who.int/media/docs/default-source/integrated-health-services-(ihs)/csy/bec_faq.pdf?sfvrsn=84468cc0_1","https://www.who.int/publications/i/item/9789241513081","WHO publication; private research copy; verify item-specific licence before redistribution"
"who-medical-emergency-checklist","pulso-emergency-ops","WHO","en","checklist","WHO Medical Emergency Checklist","who-medical-emergency-checklist.pdf","https://cdn.who.int/media/docs/default-source/documents/emergency-care/medical-emergency-checklist695a3295-7323-40cc-bc52-94124cadd990.pdf?sfvrsn=9a141648_1&download=true","https://www.who.int/publications/i/item/who-medical-emergency-checklist","WHO publication; private research copy; verify item-specific licence before redistribution"
